HEADER
VTF File Version,1.1
VTF File Type,1
PID,31415
Generated on,2024-12-13 12:38:01
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,31416
XRT  Version,2.14.354
Tool Version,2022.2
Platform,xilinx_u200_gen3x16_xdma_2_202110_1
Target,Hardware Emulation

STRUCTURE
Group_Start,xilinx_u200_gen3x16_xdma_2_202110_1
Group_Start,binary_container_1.xclbin
Group_Start,Compute Unit vadd_1,Activity in accelerator vadd:vadd_1
Dynamic_Row_Summary,1,Executions,Execution in accelerator vadd_1
Optional_Function_Internal,User Functions,Function activity in accelerator vadd_1,1,xilinx_u200_gen3x16_xdma_2_202110_1-0,binary_container_1,vadd,vadd_1
Group_Start,m_axi_gmem-DDR[0](in1),Data Transfers between vadd_1 and Global Memory over read and write channels of vadd_1/m_axi_gmem-DDR[0]
Static_Row,2,Read Channel,Read Data Transfers 
Static_Row,3,Write Channel,Write Data Transfers 
Group_End,m_axi_gmem-DDR[0](in1)
Group_Start,m_axi_gmem1-DDR[2](in2),Data Transfers between vadd_1 and Global Memory over read and write channels of vadd_1/m_axi_gmem1-DDR[2]
Static_Row,4,Read Channel,Read Data Transfers 
Static_Row,5,Write Channel,Write Data Transfers 
Group_End,m_axi_gmem1-DDR[2](in2)
Group_Start,m_axi_gmem2-DDR[1](out),Data Transfers between vadd_1 and Global Memory over read and write channels of vadd_1/m_axi_gmem2-DDR[1]
Static_Row,6,Read Channel,Read Data Transfers 
Static_Row,7,Write Channel,Write Data Transfers 
Group_End,m_axi_gmem2-DDR[1](out)
Group_End,vadd_1
Group_End,binary_container_1.xclbin
Group_End,xilinx_u200_gen3x16_xdma_2_202110_1

MAPPING
24,0:0:0
23,1:1:1
30,DDR[0]
31,DDR[1]
29,DDR[2]
19,bank0
25,bank1
21,binary_container_1
12,clCreateBuffer
6,clCreateCommandQueue
5,clCreateContext
10,clCreateKernel
8,clCreateProgramWithBinary
15,clEnqueueMigrateMemObjects
17,clEnqueueTask
18,clFinish
3,clGetDeviceIDs
7,clGetDeviceInfo
1,clGetPlatformIDs
2,clGetPlatformInfo
28,clReleaseCommandQueue
27,clReleaseContext
9,clReleaseDevice
26,clReleaseKernel
16,clReleaseMemObject
11,clReleaseProgram
4,clRetainDevice
14,clRetainMemObject
13,clSetKernelArg
22,vadd
32,vadd_1
20,xilinx_u200_gen3x16_xdma_2_202110_1

EVENTS
106,0,48832.082219,1,KERNEL,22,32
107,0,48856.036605,4,KERNEL_READ,29
108,0,48856.050959,2,KERNEL_READ,30
109,107,48874.191378,4,KERNEL_READ,29
110,108,48874.361827,2,KERNEL_READ,30
111,0,53935.490847,7,KERNEL_WRITE,31
112,111,53949.505991,7,KERNEL_WRITE,31
113,106,53996.909096,1,KERNEL,22,32

DEPENDENCIES

